"Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","sig"
"ENSG00000182185.18",246.419804125877,0.697641832012037,0.0999020438450658,6.98325885198087,2.88410300565716e-12,7.46040538150022e-10,"RAD51B","Not significant"
"ENSG00000132437.18",416.288151137096,-2.43960464300587,0.349655051752979,-6.97717544984699,3.0117350812166e-12,7.73896244280036e-10,"DDC","Down"
"ENSG00000203685.10",466.874569675681,-2.27880933416875,0.326701376874208,-6.97520578569881,3.0542341747017e-12,7.79653554030266e-10,"STUM","Down"
"ENSG00000285722.1",18.4732417138149,-3.93571077471418,0.56560283767533,-6.95843534111364,3.44072590184836e-12,8.72572586389662e-10,"AC207130.1","Down"
"ENSG00000116183.11",44.5376293509343,-2.01819692738218,0.290282849450759,-6.95251865964795,3.58821355240303e-12,9.04066714589546e-10,"PAPPA2","Down"
"ENSG00000117525.14",6962.00296358387,-1.28439735162713,0.185007837501933,-6.94239427350588,3.85509457110055e-12,9.65042093246918e-10,"F3","Down"
"ENSG00000177791.12",94.9593585111671,1.39823383118667,0.201770810425124,6.92981223716471,4.21399550785948e-12,1.04812333141318e-09,"MYOZ1","Up"
"ENSG00000165061.15",61.6790366830225,-3.10156094094367,0.447809499489131,-6.92607223491683,4.32685589614232e-12,1.06933971736445e-09,"ZMAT4","Down"
"ENSG00000229656.7",29.8082061623756,-1.86960978357892,0.27077921379418,-6.90455429492462,5.03612933233258e-12,1.23675224192302e-09,"ITGB1-DT","Down"
"ENSG00000153162.9",795.253678197372,-1.78540018478532,0.258639405834726,-6.90304781293154,5.08984887220711e-12,1.24208318295917e-09,"BMP6","Down"
"ENSG00000141527.18",462.776747905264,-1.43670321343502,0.208498031054146,-6.89072796597259,5.55075965517639e-12,1.34609390862812e-09,"CARD14","Down"
"ENSG00000113924.12",1239.64267867422,-2.011794414704,0.292683805823297,-6.87361027387551,6.25970781559657e-12,1.50858958355877e-09,"HGD","Down"
"ENSG00000172232.10",43.7728955583818,1.94407323486345,0.2842455961197,6.83941373728362,7.95179232225436e-12,1.89411828333714e-09,"AZU1","Up"
"ENSG00000173809.18",35.0384963641963,-1.81810461422937,0.26583122921177,-6.83931914102164,7.95704441081296e-12,1.89411828333714e-09,"TDRD12","Down"
"ENSG00000006611.17",292.640725078821,-2.52468451951581,0.369527065726413,-6.83220460334294,8.36194689828578e-12,1.97836525366089e-09,"USH1C","Down"
"ENSG00000255150.2",104.160802121806,-1.14442831257178,0.167589850957828,-6.82874473621774,8.5660837504841e-12,2.0143794885002e-09,"EID3","Down"
"ENSG00000260877.2",41.1900634255845,-2.28918392180177,0.335507084347502,-6.82305688493524,8.91233436401753e-12,2.08317762444725e-09,"AP005233.2","Down"
"ENSG00000117407.17",133.640184940193,-1.49276454227709,0.218882434012224,-6.81993760263888,9.10800617880239e-12,2.11616615415396e-09,"ARTN","Down"
"ENSG00000225746.13",12.7156031484174,1.89984693027711,0.278619974089672,6.81877505905465,9.18200375153663e-12,2.12066028311531e-09,"MEG8","Up"
"ENSG00000170367.5",21.6915756607253,1.83553846043857,0.26950130623797,6.81087036668307,9.7010019014662e-12,2.22726967324728e-09,"CST5","Up"
"ENSG00000137563.13",1395.33220193249,-1.22741092629898,0.180275055123565,-6.80854556088019,9.85903669402108e-12,2.2406199522415e-09,"GGH","Down"
"ENSG00000143556.9",34.5465531019982,-3.18788888130607,0.468234429673691,-6.80831796911579,9.87464271109755e-12,2.2406199522415e-09,"S100A7","Down"
"ENSG00000162873.15",116.699054956079,1.43543444510655,0.2110252161942,6.80219393205392,1.03037761091687e-11,2.32440009774335e-09,"KLHDC8A","Up"
"ENSG00000260253.1",7.7242091383106,-2.18984033841685,0.322278172697215,-6.79487636438301,1.08405454980359e-11,2.43135263508261e-09,"AC084262.1","Down"
"ENSG00000237074.2",23.8097230082865,2.17019726956199,0.319460200399477,6.79332595061363,1.09577418629436e-11,2.44351345990848e-09,"AL596218.1","Up"
"ENSG00000167748.11",67.1548771794701,-1.77216768289643,0.260988515559438,-6.79021327470185,1.11967896609678e-11,2.48255220362978e-09,"KLK1","Down"
